asn,name,category
11081,United Telecommunication Services (UTS),dsl
11114,Wintek Corporation,dsl
11139,Cable & Wireless Dominica,dsl
11142,"Precision Data Solutions, LLC",dsl
11232,Midcontinent Communications,dsl
11233,Gorge Networks LLC,dsl
11260,EastLink,dsl
11290,Cogeco Connexion inc,dsl
11338,SKY SERVIÇOS DE BANDA LARGA LTDA,dsl
11351,Charter Communications Inc,dsl
11404,Wave Broadband,dsl
11426,Charter Communications Inc,dsl
11427,Charter Communications Inc,dsl
11492,"CABLE ONE, INC.",dsl
11525,NineStar Connect,dsl
11556,Cable & Wireless Panama,dsl
11562,"Net Uno, C.A.",dsl
11664,Techtel LMDS Comunicaciones Interactivas S.A.,dsl
11666,Nexicom Inc.,dsl
11706,TERRA FIBRA,dsl
11708,"City of North Kansas City, MO",dsl
11776,Breezeline,dsl
11814,Distributel Communications Limited,dsl
11816,SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.,dsl
11830,Instituto Costarricense de Electricidad y Telecom.,dsl
11844,Olé Telecom,dsl
11845,Vox Telecom Ltd,dsl
11888,"Television Internacional, S.A. de C.V.",dsl
11976,Fidelity Communication International Inc.,dsl
11990,"Unlimited Net, LLC",dsl
11992,Liberty Mobile Puerto Rico Inc.,dsl
11994,Cruzio,dsl
12083,WideOpenWest Finance LLC,dsl
12252,America Movil Peru S.A.C.,dsl
12271,Charter Communications Inc,dsl
12297,Telecom Armenia OJSC,dsl
12301,Invitech ICT Services Kft.,dsl
12302,Vodafone Romania S.A.,dsl
12322,Free SAS,dsl
12334,"R Cable y Telecable Telecomunicaciones, S.A.U.",dsl
12338,Euskaltel S.A.,dsl
12353,Vodafone Portugal - Communicacoes Pessoais S.A.,dsl
12355,HeLi NET Telekommunikation GmbH & Co.,dsl
12357,VODAFONE ESPANA S.A.U.,dsl
12360,KEVAG Telekom GmbH,dsl
12361,Vodafone-panafon Hellenic Telecommunications Company SA,dsl
12389,Rostelecom PJSC,dsl
12390,KCOM Group Limited,dsl
12392,Orange Belgium SA,dsl
12400,Partner Communications Ltd.,dsl
12414,Solcon Internetdiensten B.V.,dsl
12418,Quantum CJSC,dsl
12430,VODAFONE ESPANA S.A.U.,dsl
12436,Bergon Internet Ltd.,dsl
12455,Kenyan Post & Telecommunications Company / Telkom Kenya Ltd,dsl
12479,Orange Espagne SA,dsl
12494,OOO Post ltd,dsl
12496,Infinity Developments Limited,dsl
12552,GlobalConnect (IP-Only),dsl
12570,"O2 Czech Republic, a.s.",dsl
12576,EE Limited,dsl
12578,SIA Tet,dsl
12605,LIWEST Kabelmedien GmbH,dsl
12611,R-KOM Regensburger,dsl
12644,Telemach Slovenija d.o.o.,dsl
12668,LLC KomTehCentr,dsl
12708,TalkTalk Communications Limited,dsl
12709,Melita Limited,dsl
12714,PJSC MegaFon,dsl
12716,A1 Bulgaria EAD,dsl
12735,TurkNet Iletisim Hizmetleri A.S.,dsl
12737,"KrasPromStroy, LLC",dsl
12741,Netia SA,dsl
12764,AKNET Ltd.,dsl
12768,JSC ER-Telecom Holding,dsl
12778,"MEGA M, d.o.o.",dsl
12810,A1 Hrvatska d.o.o.,dsl
12829,Angel Soft OOD,dsl
12843,TelemaxX Telekommunikation GmbH,dsl
12849,Hot-Net internet services Ltd.,dsl
12850,Retelit Digital Services S.p.A.,dsl
12871,KPN B.V.,dsl
12874,Fastweb SpA,dsl
12883,PRIVATE JOINT-STOCK COMPANY FARLEP-INVEST,dsl
12887,Netia SA,dsl
12897,ENTEGA Medianet GmbH,dsl
12912,T-Mobile Polska S.A.,dsl
12941,intersaar GmbH,dsl
12946,"R Cable y Telecable Telecomunicaciones, S.A.U.",dsl
12958,T2 Mobile LLC Moscow branch,dsl
12963,Scientific Industrial Firm Volz Ltd,dsl
12969,Ljósleiðarinn ehf (Sýn),dsl
12975,Palestine Telecommunications Company (PALTEL),dsl
12978,ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.,dsl
12989,Black HOST Ltd,dsl
12997,OJSC Kyrgyztelecom,dsl
13000,Leon Sp. z o.o.,dsl
13030,Init7 (Switzerland) Ltd.,dsl
13036,T-Mobile Czech Republic a.s.,dsl
13037,Zen Internet Ltd,dsl
13045,htp GmbH,dsl
13046,Hrvatski Telekom d.d.,dsl
13055,MTS PJSC,dsl
13091,"Posta Srbije Drustvo S Ogranicenom Odgovornoscu, Beograd",dsl
13101,TNG Stadtnetz GmbH,dsl
13110,INEA sp. z o.o.,dsl
13122,Manx Telecom Trading Ltd,dsl
13124,A1 Bulgaria EAD,dsl
13127,Odido Netherlands B.V.,dsl
13156,"NOWO COMMUNICATIONS, S.A.",dsl
13170,Kaisanet Oy,dsl
13182,Made Network Srl,dsl
13188,Triolan,dsl
13189,Liden Data Internetwork AB,dsl
13194,UAB Bite Lietuva,dsl
13272,Elisa Eesti AS,dsl
13280,Three Ireland (Hutchison) limited,dsl
13285,TalkTalk Communications Limited,dsl
13306,Unics EOOD,dsl
13347,Midwest Cable,dsl
13367,"Comcast Cable Communications, LLC",dsl
13370,Ziply Fiber (LocalTel),dsl
13377,Rogue Broadband,dsl
13427,"Softcom Internet Communications, Inc.",dsl
13451,Ziply Fiber (Saddle Mountain Wireless),dsl
13489,EPM Telecomunicaciones S.A. E.S.P.,dsl
13781,Hopkinsville Electric System,dsl
13807,Great Plains Communications LLC,dsl
13977,Fidium,dsl
13999,"Mega Cable, S.A. de C.V.",dsl
14051,Fidium,dsl
14080,Telmex Colombia S.A.,dsl
14117,Telefonica del Sur S.A.,dsl
14259,Gtd Internet S.A.,dsl
14333,"On-Ramp Indiana, Inc. (ORI.NET)",dsl
14371,Paul Bunyan Communications,dsl
14522,Satnet,dsl
14615,"Comporium, Inc",dsl
14638,Liberty Communications of Puerto Rico LLC,dsl
14695,City of El Reno,dsl
14709,Cable Onda,dsl
14749,Russellville Electric Plant Board,dsl
14754,Claro Guatemala (Telgua),dsl
14813,Columbus Telecommunications (Barbados) Limited,dsl
14868,Ligga Telecomunicações S.A.,dsl
14979,Aeronet Wireless,dsl
14988,Botswana Telecommunications Corporation,dsl
15081,Omni Fiber,dsl
15108,Allo Communications LLC,dsl
15146,Cable Bahamas,dsl
15344,Karib Cable,dsl
15366,DNS:NET Internet Service GmbH,dsl
15377,TRADITIONAL LLC,dsl
15378,T2 Mobile LLC Saint Petersburg branch,dsl
15399,Wananchi Group (Kenya) Limited,dsl
15435,DELTA Fiber Nederland B.V.,dsl
15457,"NOS Madeira Comunicacoes, S.A.",dsl
15474,Rannsókna- og háskólanet Íslands hf.,dsl
15493,Russian company LLC,dsl
15502,Vodafone Ireland Limited,dsl
15525,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,dsl
15542,DELTA Fiber Nederland B.V.,dsl
15547,netplus.ch SA,dsl
15557,SFR SA,dsl
15582,JSC Comcor,dsl
15600,Quickline AG,dsl
15605,Connesi S.p.A.,dsl
15617,Nova Telecommunications & Media Single Member S.A,dsl
15640,MTS PJSC,dsl
15659,NextGenTel AS,dsl
15673,Teleseti Plus Ltd.,dsl
15704,XTRA TELECOM S.A.,dsl
15706,Sudatel Telecom Group,dsl
15723,AZERONLINE LTD JOINT ENTERPRISE,dsl
15735,GO p.l.c.,dsl
15774,Limited Liability Company TTK-Svyaz,dsl
15796,Salt Mobile SA,dsl
15802,Emirates Integrated Telecommunications Company PJSC,dsl
15805,EPIC LTD,dsl
15879,Vancis IP B.V.,dsl
15895,Kyivstar PJSC,dsl
15897,Vodafone Telekomunikasyon A.S.,dsl
15899,ERNIS SIA,dsl
15924,Vodafone Turkey,dsl
15925,Occino GmbH,dsl
15943,wilhelm.tel GmbH,dsl
15958,CETIN Ltd. Belgrade,dsl
15962,Orange Slovensko a.s.,dsl
15964,CAMTEL,dsl
15975,Hadara Technologies Private Shareholding Company,dsl
15994,A1 Hrvatska d.o.o.,dsl
16010,Magticom Ltd.,dsl
16019,Vodafone Czech Republic a.s.,dsl
16058,Gabon Telecom / Office of Posts and Telecommunication...,dsl
16086,DNA Oyj,dsl
16116,Pelephone Communications Ltd.,dsl
16135,TURKCELL ILETISIM HIZMETLERI A.S.,dsl
16160,"SWAN, a.s.",dsl
16202,Tele Columbus AG (Pÿur / Pyur),dsl
16223,"MAXNET TELECOM, LTD",dsl
16246,"O2 Czech Republic, a.s.",dsl
16301,PJSC Rostelecom,dsl
16302,Suomi Communications Oy,dsl
16316,TMT GmbH & Co. KG,dsl
16333,Company for communications services A1 Makedonija DOO...,dsl
16342,Toya sp.z.o.o,dsl
16345,PJSC Vimpelcom,dsl
16591,Google Fiber Inc.,dsl
16637,MTN SA (Bayobab),dsl
16717,Craw-Kan Telephone Cooperative Inc.,dsl
16735,Algar Telecom,dsl
16814,NSS S.A.,dsl
16904,Arvig Enterprises Inc.,dsl
16906,"El Salvador Network, S. A.",dsl
16960,"Cablevision Red, S.A de C.V.",dsl
17072,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",dsl
17079,Telemovil El Salvador S.A.,dsl
17222,MUNDIVOX DO BRASIL LTDA,dsl
17306,"JAB Wireless, INC.",dsl
17421,Emome (Chunghwa Telecom),dsl
17429,BEIJING GEHUA CATV NETWORK CO.LTD,dsl
17451,Biznet Networks,dsl
17465,Asianet Broadband,dsl
17483,CityOnline Services Ltd,dsl
17488,Hathway IP Over Cable Internet,dsl
17501,WorldLink Communications Pvt Ltd,dsl
17506,ARTERIA Networks Corporation,dsl
17511,OPTAGE Inc.,dsl
17534,"NSK Co.,Ltd.",dsl
17551,Swoop (Anycast Global Backbone),dsl
17552,True Online,dsl
17557,Pakistan Telecommunication Company Limited,dsl
17621,China Unicom Shanghai network,dsl
17622,China Unicom Guangdong Province Network,dsl
17623,China Unicom Guangdong Province Shenzhen Network,dsl
17638,China Telecom Tianjin Province Network,dsl
17639,Converge ICT Solutions Inc.,dsl
17665,ONEOTT INTERTAINMENT LIMITED,dsl
17670,PT MNC Kabel Mediacom,dsl
17676,SoftBank Corp.,dsl
17698,COMMUNITY NETWORK CENTER INCORPORATED.,dsl
17747,SITI NETWORKS LIMITED,dsl
17754,Excellmedia,dsl
17806,Mango Teleservices,dsl
17809,VEE TIME CORP.,dsl
17813,Mahanagar Telephone Nigam Limited,dsl
17816,China Unicom Guangdong Province Network,dsl
17839,LG HelloVision Corp.,dsl
17849,SK Broadband Co Ltd,dsl
17853,LGTELECOM,dsl
17854,SK Broadband Co Ltd,dsl
17858,LG POWERCOMM,dsl
17864,SK Broadband Co Ltd,dsl
17882,UNIVISION LLC,dsl
17884,PT Uninet Media Sakti,dsl
17917,Quadrant Televentures Limited,dsl
17924,SmarTone Mobile Communications Ltd,dsl
17957,SOUTH TOKYO CABLETELEVISION,dsl
17962,ShenZhen Topway Video Communication Co. Ltd,dsl
17974,PT Telekomunikasi Indonesia,dsl
17976,CellCard,dsl
18001,Dialog Axiata PLC.,dsl
18049,Taiwan Infrastructure Network Technologie,dsl
18081,"Kintetsu Cable Network Co., Ltd.",dsl
18103,PT Prestasi Piranti Informasi,dsl
18106,Viewqwest Pte Ltd,dsl
18116,HGC Global Communications Limited,dsl
18126,"Chubu Telecommunications Company, Inc.",dsl
18144,"Enecom,Inc.",dsl
18182,Sony Network Taiwan Limited,dsl
18207,YOU Broadband & Cable India Ltd.,dsl
18209,"Atria Convergence Technologies Ltd., AS18390,Spintel Pty Ltd AS18403,FPT Telecom Company AS18419,DaDa Broadband LTD. AS18429,Extra-Lan Technologies Co., LTD",dsl
18734,"Operbes, S.A. de C.V.",dsl
18747,IFX Corporation,dsl
18809,Cable Onda,dsl
18822,Manquehuenet,dsl
18881,TELEFÔNICA BRASIL LTDA,dsl
18914,ETS TELECOM,dsl
18988,City West Cable & Telephone Corp.,dsl
19108,Optimum,dsl
19115,Charter Communications LLC,dsl
19165,Webpass Inc.,dsl
19182,TELEFÔNICA BRASIL S.A,dsl
19331,Twin Lakes Telephone Cooperative Corporation,dsl
19381,"Simply Bits, LLC",dsl
19397,"ACN Communication Services, LLC",dsl
19429,ETB - Colombia,dsl
19504,"WTC Communications, Inc.",dsl
19863,Guyana Telephone & Telegraph Co.,dsl
19890,LONE PINE Communications,dsl
20001,Charter Communications Inc,dsl
20015,FullCom S.A.,dsl
20055,Ziply Fiber,dsl
20057,"AT&T Enterprises, LLC",dsl
20115,Charter Communications LLC,dsl
20207,Gigared S.A.,dsl
20214,"Comcast Cable Communications, LLC",dsl
20294,MTN Uganda,dsl
20318,"Niacom Holdings, LLC",dsl
