asn,name,category
51894,SIA Mikrotīkls / MikroTik,company
51939,Terra Management Consulting Ltd,company
51985,Adenis SAS,company
52004,Lindex Group Oyj,company
52144,MyBit Services BV,company
54115,Facebook (Corporate),company
54175,WB Games Montreal Inc,company
54528,"Richie Software USA, Inc.",company
55562,SIX Financial Information Singapore Pte Ltd,company
55966,Post Savings Bank of China,company
56248,PT Indah Kiat Pulp & Paper Tbk,company
56323,Eco Baltia AS,company
56454,Tilde SIA,company
56496,TV 2 Danmark A/S,company
56901,"ServerKing.io, LLC",company
56938,MAGNUM MEDICAL SIA,company
56953,N.V. Nederlandse Gasunie,company
56984,ifm electronic GmbH,company
56987,ABACLOUDA SAS,company
57066,Yleisradio Oy,company
57154,Stadtwerke Konstanz GmbH,company
57382,Telecommunication Tokelau Corporation Teletok,company
57630,84 Grams AB,company
57829,IVER,company
57946,RPH Business Support AS,company
58082,Messagenet S.p.A.,company
58182,Wix.com Ltd.,company
58308,Cusae SAS,company
58385,PT Bank Syariah Mandiri,company
58449,PT Nusa Satu Inti Artha,company
58484,PT Pratesis,company
58816,PT Garena Indonesia,company
58921,Capricorn Society Limited,company
59073,Bank of China Limited,company
59339,BLACKBIRD IT PTY LTD,company
59689,Code40 SAS,company
59807,Swedbank AB,company
59967,SIA EVOLUTION LATVIA,company
60254,GLS IT Services GmbH,company
60284,Axpo Systems AG,company
60318,VSELINK LLC,company
60345,icixs networks GmbH,company
60350,VENTE-PRIVEE.COM SA,company
60436,KBC GLOBAL SERVICES NV,company
60608,Olympic Entertainment Group AS,company
60679,Freedom Registry BV,company
60720,Telenet Solution Ltd,company
61005,OpenTLD BV,company
61007,OpenTLD BV,company
61013,Alliander N.V.,company
61232,redIT Services AG,company
61277,ScienceSoft SIA,company
61977,Path Global UK Limited,company
62058,Belgian Radio-television of the French Community,company
62485,"ServerKing.io, LLC",company
62750,Liberty Media Corporation,company
62830,RiotGames,company
62955,"eBay, Inc",company
63126,Aptient Consulting Group Inc.,company
63179,Twitter Inc.,company
63294,DigitalFilm Tree LLC,company
63515,Indonesia Network Information Center,company
63593,HeyTap PTE.LTD.,company
63861,PT Aktif Tengah Malam,company
64421,SERTEX (ELEKOP),company
131659,NETEASE,company
131697,PT Samudera Indonesia Tbk,company
131732,PT Cogindo DayaBersama,company
132164,PT Darta Media Indonesia,company
133116,Kalgoorlie Consolidated Gold Mines,company
133213,TEAM Manufacturing Company Ltd.,company
133843,PT Bank Rakyat Indonesia (Persero) Tbk,company
134220,Lightwire LTD,company
134489,S. B Link Network,company
134544,Cenbong Intl Holdings Limited,company
134632,PT Lippo Malls Indonesia,company
135441,PT Fasa Centra Artajaya,company
135445,PT Airpay International Indonesia,company
135476,PT Bank Tabungan Pensiunan Nasional,company
135483,PT Wisesa Consulting Indonesia,company
135847,Ioeaccess Communications Private Limited,company
136095,PT Timerindo Perkasa International,company
136117,PT Bank Pembangunan Daerah Jawa Barat & Banten,company
136126,PT Blue Bird Tbk,company
136766,"ROBLOX (SHENZHEN) DIGITAL SCIENCE AND TECHNOLOGY CO., LTD",company
136769,"Guangzhou Fengyun Information Technology Co., Ltd.",company
136888,PT Petro One Indonesia,company
136964,NZ Safety Blackwoods,company
137019,neuCentrIX,company
137263,NETEASE HONG KONG LIMITED,company
137288,PT Ungaran Sari Garments,company
137331,PT Cloud Teknologi Nusantara,company
137357,PT Bukit Makmur Mandiri Utama,company
137369,PT Integral Data Prima,company
137383,PT Mandiri Sekuritas,company
137735,China Construction Bank,company
137758,Industrial and Commercial Bank of China Limited,company
138073,PT Elnusa Tbk,company
138341,Shopee Singapore Pte. Ltd.,company
138883,PT Asuransi Jiwa Generali Indonesia,company
139148,"China UnionPay Co., Ltd",company
139656,ANZ BANK NEW ZEALAND LIMITED,company
139986,PT Henan Putihrai Sekuritas,company
140415,PT Jasamarga Tollroad Operator,company
140467,PT Kreatif Global Solusindo,company
140940,PT Bank Seabank Indonesia,company
140982,DCS1 - Broadside,company
141253,Hyosec Solutions Private Limited,company
141666,PT Industri Kereta Api,company
147039,Cyprea Private Limited,company
147112,PT Meetaza Prawira Media,company
149037,Mavorion Systems,company
149546,B G CHITALE,company
149753,PT Global Sarana Mediakom,company
150006,Aloi Pte. Ltd.,company
150158,"PHSS Camindo, Ltd.",company
150480,PT Swara Logika Laboratory,company
151332,CoinJar Pty Ltd,company
151544,PDWNet,company
151573,PT Kereta Cepat Indonesia China,company
152626,Cloudbase Network,company
152772,PT Prosperita Sistem Indonesia,company
152909,SaferCities,company
153129,PT Cashlez Worldwide Indonesia Tbk,company
196731,egeplast international GmbH,company
197115,KEVA,company
197289,AS HELMES,company
197347,Allianz Arena Muenchen Stadion GmbH,company
197403,Íslandsbanki hf,company
197446,SIA Vitol Terminal Latvia,company
197466,SIA 3ENITH,company
197759,Enapter AG,company
197870,S.I.A.IBANPAY,company
197930,Haahtela Oy,company
198147,Telecommunication Tokelau Corporation Teletok,company
198417,DSM Grup Danismanlik Iletisim ve Satis Ticaret Anonim...,company
198606,AMST-Systemtechnik GmbH,company
198761,Simac IT NL B.V.,company
198912,SITA,company
199031,SIA Amberbit,company
199034,SIA Baltic project group,company
199963,Mack International GmbH trading as Europa-Park GmbH &...,company
199980,IVENDO sp. z o.o.,company
200202,Fuze III SARL,company
200249,Products Up GmbH,company
200432,Teya Iceland hf,company
200567,Wireless Logic mdex GmbH,company
200587,Red Bee Media B.V.,company
200609,CHDE Polska Spolka Akcyjna,company
200696,Ålands Penningautomatförening,company
200846,d.velop AG,company
201012,KEH eCommerce LLC,company
201110,Andritz AG,company
201126,CDW Ltd,company
201154,IKEA IT AB,company
201271,Nordea Bank Abp,company
201273,cubequadrat OU,company
201315,SIA BFA,company
201321,ITQS IKE,company
201574,LATVIJAS LOTO VAS,company
201673,Verifone Baltic SIA,company
201991,Metsäliitto Osuuskunta,company
202003,Avast Software Romania S.R.L.,company
202032,GOLINE SA,company
202049,Encrypted Email Finland Ltd,company
202172,Migadu-Mail Gmbh,company
202191,Katoen Natie,company
202494,Turkiye Petrol Rafinerileri Anonim Sirketi TUPRAS,company
202526,HENSOLDT Optronics GmbH,company
202555,SIA Tamro,company
202589,TestDevLab-SIA,company
202617,Kering Eyewear S.p.A.,company
202756,Radio Free Europe/Radio Liberty,company
202863,OPTIBET LTD,company
203176,Reiknistofa bankanna hf.,company
203372,GSA Capital Services Ltd,company
203491,"Estoril Sol Digital, Online Gaming Products And Servi...",company
203511,OZBAY BILISIM INTERNET HIZMETLERI LIMITED SIRKETI,company
203898,Cloudflare London Office,company
203968,aiticon GmbH,company
204130,"DLV, sia",company
204411,Bigbank AS,company
204445,DB Systel GmbH (Public WiFi),company
204702,Deutsche Windtechnik GmbH & Co. KG,company
204706,JSC Kolesa,company
204748,INDUSTRIA DE DISENO TEXTIL SOCIEDAD ANONIMA,company
204857,berrybyte Limited,company
205037,Kisters AG,company
205080,SITA,company
205111,ZOHO Corporation B.V,company
205310,Beiersdorf Shared Services GmbH,company
205461,Pole emploi,company
205583,PC Yellow bv,company
205614,Medialine EuroTrade AG,company
205625,Winfinity,company
205627,Daimler Truck AG,company
205757,The Walt Disney Company Medya Eglence Ve Tic Ltd. Sti.,company
205821,SIA Arena Riga,company
206141,Duisburger Versorgungs- und Verkehrsgesellschaft mbH,company
206470,Menzel IT GmbH,company
206520,HUB logistics Finland Oy,company
206541,Kreiss,company
206662,Inventx AG,company
206713,France Televisions SA,company
206718,Radio Free Europe/Radio Liberty,company
206970,Avira Holding GmbH,company
207047,Raiffeisen Bank Kosovo JSC,company
207063,"Kentik Technologies, Inc.",company
207112,"REN - Rede Energeticas Nacionais, S.A.",company
207254,AS Postimees Grupp,company
207377,Evolution Latvia SIA,company
207595,Hestronic BV,company
207689,Teikums JT SIA,company
207804,DSS AB,company
207851,Fara AS,company
207994,Blockchain Creek B.V.,company
