asn,name,category
12306,Plus.line AG,large
12312,ecotel communication ag,large
12322,Free SAS,large
12329,GLASFASER RUHR GmbH & Co. KG,large
12337,noris network AG,large
12353,Vodafone Portugal - Communicacoes Pessoais S.A.,large
12389,Rostelecom PJSC,large
12400,Partner Communications Ltd.,large
12479,Orange Espagne SA,large
12488,Krystal Hosting Ltd,large
12516,WEBORAMA SA,large
12525,INTERNET Ltd.,large
12601,Cegedim.Cloud SASU,large
12616,Citytelecom LLC,large
12637,Seeweb s.r.l.,large
12678,Badoo Trading Limited,large
12696,AXA Technology Services France GIE,large
12732,GutCon GmbH,large
12813,WorNet AG,large
12816,Leibniz-Rechenzentrum,large
12827,Wirtualna Polska Media S.A.,large
12876,Scaleway,large
12978,ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.,large
13008,Entain Services Austria GmbH,large
13041,Consorci de Serveis Universitaris de Catalunya,large
13147,Net Info JSCo,large
13193,Keyyo SA,large
13223,Council Of Europe,large
13237,euNetworks GmbH,large
13335,"Cloudflare, Inc.",large
13348,CIGNA,large
13371,Duke University,large
13445,Cisco Webex LLC,large
13462,"Institute of Electrical and Electronics Engineers, Inc",large
13489,EPM Telecomunicaciones S.A. E.S.P.,large
13490,"Buckeye Cablevision, Inc.",large
13506,United States Department of the Treasury,large
13535,"Ning Interactive, Inc.",large
13588,Paychex Inc.,large
13645,"BroadbandONE, LLC",large
13649,Flexential Colorado Corp.,large
13684,"Medtronic, Incorporated",large
13767,"DataBank Holdings, Ltd.",large
13768,Aptum Technologies,large
13796,University of Connecticut,large
13812,Fisher Scientific,large
14061,DigitalOcean LLC,large
14259,Gtd Internet S.A.,large
14298,Environmental Protection Agency,large
14299,"Automatic Data Processing, Inc.",large
14340,"Salesforce.com, Inc.",large
14618,"Amazon.com, Inc.",large
14627,"Vitalwerks Internet Solutions, LLC",large
14738,Digi-Key Corporation,large
14744,Unitas Global,large
14745,Unitas Global,large
14782,MailChimp,large
14907,Wikimedia Foundation Inc.,large
15113,Harman International Industries Inc.,large
15149,"Core Technology Services, Inc.",large
15169,Google LLC,large
15208,Servicio de Impuestos Internos,large
15224,Adobe Inc.,large
15318,McGill University,large
15348,Tucows.com Co.,large
15391,Sysclay Sp. z o. o.,large
15395,Rackspace Ltd.,large
15435,DELTA Fiber Nederland B.V.,large
15456,InterNetX GmbH,large
15549,National Information Technologies Joint-Stock Company,large
15557,SFR SA,large
15598,NorthC Deutschland GmbH,large
15632,JSC Alfa-Bank,large
15685,CASABLANCA INT a.s.,large
15806,Irish Government,large
15830,"Equinix, Inc.",large
15897,Vodafone Telekomunikasyon A.S.,large
15967,Nazwa.pl Sp.z.o.o.,large
16075,TAZ Verlags- und Vertriebsgesellschaft mit beschraenk...,large
16107,Commerzbank Aktiengesellschaft,large
16125,UAB Cherry Servers,large
16138,Interia.pl Sp z.o.o.,large
16182,Erste Bank Polska S.A.,large
16276,OVH SAS,large
16326,SmalS vzw,large
16345,PJSC Vimpelcom,large
16347,ADISTA SAS,large
16462,University of Victoria,large
16509,"Amazon.com, Inc.",large
16552,Tiggee LLC,large
16625,"Akamai Technologies, Inc.",large
16637,MTN SA (Bayobab),large
16660,Capital One Financial Corporation,large
16686,"easyDNS Technologies, Inc.",large
16701,AGENCIA DE RECAUDACIÓN Y CONTROL ADUANERO (ARCA),large
16733,Gen Digital Inc.,large
16735,Algar Telecom,large
16751,Open Text Corporation,large
16839,"SERVICENOW, INC.",large
16848,NexG,large
16876,ICANN,large
16880,TREND MICRO INCORPORATED,large
16922,University of Oklahoma HSC,large
17035,NBCUniversal,large
17054,Expedient,large
17055,University of Utah,large
17506,ARTERIA Networks Corporation,large
17564,GITN Sdn. Bhd.,large
17623,China Unicom Guangdong Province Shenzhen Network,large
17676,SoftBank Corp.,large
17685,"SQUARE ENIX CO., LTD.",large
17716,National Taiwan University,large
17881,"Inet Hosting, Inc.",large
17961,"mitene internet co., ltd.",large
17983,Coles Supermarkets Australia Pty Ltd,large
18051,Pustekkom,large
18160,Kakao Corp,large
18229,CtrlS,large
18403,FPT Telecom Company,large
18465,"Workday, Inc.",large
18568,Bidtellect Inc.,large
18705,BlackBerry Limited,large
19189,Pulsepoint Inc,large
19224,"Quantum Services Group, LLC.",large
19250,"John Wiley & Sons, Inc.",large
19317,"Bluesky Social, PBC",large
19318,"Interserver, Inc",large
19373,Triara.com S.A. de C.V.,large
19437,SECURED SERVERS LLC,large
19551,Incapsula Inc,large
19557,CHANGEIP COM,large
19574,Corporation Service Company,large
19648,Corporation of the Presiding Bishop of the Church of ...,large
19679,"Dropbox, Inc.",large
19780,"Intermedia.net, Inc.",large
19871,"Network Solutions, LLC",large
19905,"Vercara, LLC",large
19994,Rackspace Hosting,large
20044,S/A ESTADO DE MINAS,large
20116,CAIXA ECONOMICA FEDERAL,large
20141,"Quality Technology Services, LLC",large
20258,"Analog Devices, Inc.",large
20473,"The Constant Company, LLC",large
20546,SOPRADO GmbH,large
20596,Future Publishing Ltd,large
20633,Johann Wolfgang Goethe-Universitat Frankfurt am Main,large
20675,BOURSORAMA S.A.,large
20705,HSBC Bank plc,large
20740,Messe Frankfurt GmbH,large
20746,Telecom Italia S.p.A.,large
20756,NAMESHIELD SAS,large
20764,CJSC RASCOM,large
20857,TransIP B.V. (team.blue NL),large
20860,IOMART CLOUD SERVICES LIMITED,large
20940,Akamai International B.V.,large
21051,ASTRUM LLC,large
21192,dpa Deutsche Presse Agentur GmbH,large
21245,MEDIANOVA INTERNET HIZMETLERI VE TICARET ANONIM SIRKETI,large
21276,Expert Solutions Georgia LLC,large
21341,Soroush Rasanheh Company Ltd,large
21777,"Massive Networks, Inc.",large
21785,"Red Hat, Inc.",large
21840,WiredISP Inc.,large
21859,Zenlayer Inc,large
22024,"Splunk, Inc.",large
22063,J. Paul Getty Trust,large
22244,Motorola Mobility LLC,large
22252,The City of New York,large
22284,U.S. Department of the Interior,large
22390,XEROX CORPORATION,large
22414,"Craigslist, Inc.",large
22427,GNET INC.,large
22548,Núcleo de Informação e Coordenação do Ponto BR - NIC.BR,large
22604,Disney Streaming Services,large
22611,"InMotion Hosting, Inc.",large
22612,"Namecheap, Inc.",large
22652,Videotron Ltee,large
22697,Roblox,large
22773,Cox Communications Inc.,large
22834,Boston College,large
22989,"Free Software Foundation, Inc.",large
23005,"SWITCH, LTD",large
23028,Team Cymru Inc.,large
23140,Universidad de Chile,large
23162,University of Kentucky,large
23237,McMaster University,large
23352,DEFT.COM,large
23393,NuCDN LLC,large
23576,NAVER Cloud Corp.,large
23616,"Hitachi Systems, Ltd.",large
23693,PT. Telekomunikasi Selular,large
23724,China Telecom Beijing IDC Network,large
23816,LY Corporation,large
23820,"Rakuten Group, Inc.",large
23910,China Next Generation Internet CERNET2,large
24151,China Internet Network Infomation Center,large
24211,PT Detik Ini Juga,large
24247,PacketFabric (Hong Kong) Limited,large
24282,KAGOYA JAPAN Inc.,large
24400,"Shanghai Mobile Communications Co.,Ltd.",large
24429,Alibaba Cloud,large
24436,University of Queensland,large
24462,Network Management Section,large
24482,SG.GS,large
24547,Hebei Mobile Communication Company Limited,large
24572,Yahoo Japan,large
24586,Intermax Group B.V.,large
24600,Orange S.A.,large
24611,Datacenter Luxembourg S.A.,large
24638,Rambler Internet Holding LLC,large
24641,FASTER CZ spol. s r.o.,large
24690,Szerencsejatek Zrt,large
24723,Atman Sp. z o.o.,large
24768,"AlmourolTec, Lda",large
24823,VTB Bank (Public Joint-Stock Company),large
24843,France Televisions SA,large
24913,Bank Saint Petersburg PJSC,large
24940,Hetzner Online GmbH,large
24955,JSC Ufanet,large
24961,WIIT AG (fka. myLoc Managed IT AG),large
24971,MasterDC s.r.o.,large
25106,Mobile TeleSystems JLLC,large
25159,PJSC MegaFon,large
25192,"CZ.NIC, z.s.p.o.",large
25248,RADIOKOMUNIKACE a.s.,large
25285,Boletin Oficial del Estado,large
25291,SysEleven GmbH,large
25394,MK Netzdienste Verwaltungs GmbH trading as MK Netzdie...,large
25506,Telewizja Polska S.A.,large
25532,LLC MASTERHOST,large
25697,UpCloud USA Inc,large
25751,"Conversant, Inc.",large
25773,RADWARE INC.,large
25829,Smithsonian Institution,large
26042,"FiberState, LLC",large
26046,Utah State University,large
26101,Yahoo Holdings Inc.,large
26210,AXS Bolivia S. A.,large
26218,EMP. DE TEC. E INF. DA PREVIDENCIA - DATAPREV,large
26342,"Deloitte Touche Tohmatsu Services, Inc.",large
26347,"New Dream Network, LLC",large
26380,MasterCard Technologies LLC,large
26496,"GoDaddy.com, LLC",large
26529,Hilton Worldwide Holdings Inc,large
26662,XEROX CORPORATION,large
26666,"Interserver, Inc",large
26762,"Conversant, LLC",large
26787,Northwestern Mutual Life Insurance Company,large
26810,U.S. Dept. of Health and Human Services,large
27011,XM Satellite Radio,large
27257,Webair Internet Development Company Inc.,large
27357,Rackspace Hosting,large
27365,"Cengage Learning, Inc.",large
27385,"QUALYS, Inc.",large
27589,MOJOHOST,large
27632,Tractor Supply Company,large
27647,"Weebly, Inc.",large
27715,Locaweb Serviços de Internet S/A,large
27790,Universidad Nacional de Cordoba,large
28089,BANCO CENTRAL DE VENEZUELA,large
28571,UNIVERSIDADE DE SAO PAULO,large
28573,Claro NXT Telecomunicacoes Ltda,large
28604,Globo Comunicação e Participaçoes SA,large
28637,Cia Proc. de Dados do Estado de S Paulo - Prodesp,large
28753,Leaseweb Deutschland GmbH,large
28785,Asseco Cloud Sp. z o. o.,large
28812,PJSC Bashinformsvyaz,large
28839,United Nations Office at Vienna,large
28855,Octopuce s.a.r.l.,large
29003,"IP TELECOM, SERVICOS DE TELECOMUNICACOES S.A.",large
29066,velia.net Internetdienste GmbH,large
29097,Hostpoint AG,large
29169,GANDI SAS,large
29182,JSC IOT,large
29222,Infomaniak Network SA,large
29226,MasterTel,large
29278,Rackhost Zrt.,large
29298,SUSE Software Solutions Germany GmbH,large
29447,Iliad Italia S.p.A,large
29550,Team Blue Carrier Limited,large
29561,JSC Firma Center Vnedreniya Protek,large
29670,Individual Network Berlin (IN-Berlin) e.V.,large
29691,Nine Internet Solutions AG,large
29702,"Alaska Airlines, Inc.",large
29758,"Samba TV, Inc.",large
29789,"Reflected Networks, Inc.",large
29802,"HIVELOCITY, Inc.",large
29816,Southwest Airlines Co.,large
29873,"Newfold Digital, Inc.",large
29988,Rogers Communications Canada Inc.,large
29990,Xandr Inc.,large
29992,U.S. Department of Veterans Affairs,large
30060,Verisign Anycast US 2J,large
30083,velia.net,large
30148,Sucuri,large
30193,Los Angeles Unified School District,large
30217,Desync Networks,large
30313,Internal Revenue Service,large
30320,"Kia America, Inc.",large
30383,General Motors LLC,large
30447,Internet Names For Business Inc.,large
30633,LeaseWeb USA / WDC-01,large
30641,STATE OF DELAWARE,large
30811,Optimizely AB,large
30860,Virtual Systems LLC,large
30931,IG Index Ltd.,large
30983,Moroccan Academic & Research WAN,large
31004,Schweizerische Bundesbahnen SBB,large
31034,Aruba S.p.A.,large
31042,Serbia BroadBand-Srpske Kablovske mreze d.o.o.,large
31080,Wirtualna Polska Media S.A.,large
31083,Telepoint Ltd,large
31133,MegaFon PJSC,large
31151,PERFORMANCE HORIZON GROUP LIMITED,large
31174,AO RAIFFEISENBANK,large
31200,Novotelecom Ltd,large
31483,JSC ER-Telecom Holding,large
31621,Allegro sp. z o.o.,large
31715,CloudIP LLC,large
31727,Node4 Limited,large
31747,"BlackRock Financial Management, Inc.",large
31822,City University of New York,large
31898,Oracle Cloud,large
31937,Vision Service Plan,large
32181,GigeNET,large
32244,"Liquid Web, L.L.C",large
32338,Hostiserver Ltd,large
32354,Unwired,large
32368,mouser electronics,large
32472,RELX inc.,large
32475,Internap Holding LLC,large
32489,Amanah Tech Inc.,large
32577,The Kroger Co.,large
32934,"Facebook, Inc.",large
32982,U.S. Department of Energy,large
33070,Rackspace Hosting,large
33083,AxcelX Technologies LLC,large
33091,University of Calgary,large
33191,"Notion Labs, Inc.",large
33198,"Qualcomm, Inc.",large
33442,Zebra Technologies Corporation,large
33522,"cPanel, LLC.",large
33738,United States Holocaust Memorial Museum,large
33764,African Network Information Center - ( AfriNIC Ltd. ),large
33837,Fredrik Holmqvist,large
33905,Akamai International B.V.,large
34011,Host Europe GmbH,large
34086,T-Systems International GmbH,large
34156,DB Systel GmbH (German Railway),large
34177,Celeste SAS,large
34285,Sociedad Andaluza para el Desarrollo de las Telecomun...,large
34309,Link11 GmbH,large
34343,Eweka Internet Services B.V.,large
34624,Megaspace Internet Services GmbH,large
34655,JWE S.a r.l.,large
34762,Combell NV,large
34788,Neue Medien Muennich GmbH,large
34798,willhaben internet service GmbH & Co KG,large
34878,Karlsruhe Institute of Technology,large
34879,OOO Sovremennye setevye tekhnologii,large
34959,KVIKTEL LLC,large
34984,Superonline Iletisim Hizmetleri A.S.,large
34993,CYLLENE ITS SAS,large
35028,Unity Technologies ApS,large
35039,SAP SE,large
35179,Korbank S. A.,large
35237,Sberbank of Russia PJSC,large
35278,SPRINTHOST.RU LLC,large
35280,F5 Networks SARL,large
35285,Institute for Research in Fundamental Sciences,large
35293,E-CARD LTD.,large
35338,Ministry of Interior,large
35415,Webzilla B.V.,large
35673,JSC Kaspi Bank,large
35676,La Poste S.A.,large
35704,ITZBund,large
35739,Bayerischer Rundfunk,large
35916,MULTACOM CORPORATION,large
36154,THE WESTERN UNION COMPANY,large
36323,Ezri Inc,large
36351,IBM Cloud,large
36459,"GitHub, Inc.",large
36646,Yahoo Holdings Inc.,large
36647,Yahoo Holdings Inc.,large
36692,"Cisco OpenDNS, LLC",large
36850,University of North Carolina at Chapel Hill,large
36947,Telecom Algeria,large
37061,Safaricom Limited,large
37936,Sina,large
37963,"Hangzhou Alibaba Advertising Co.,Ltd.",large
38099,Kakao Corp,large
38244,VNG Corporation,large
38283,CHINANET SiChuan Telecom Internet Data Center,large
38365,"Beijing Baidu Netcom Science and Technology Co., Ltd.",large
38532,Exabytes Network (Singapore) Pte. Ltd.,large
38631,LY Corporation,large
38700,SMILESERV,large
38731,Viettel - CHT Company Ltd,large
38952,"MAFRA, a.s.",large
39029,Redpill Linpro AS,large
39122,Blacknight Internet Solutions Limited,large
39134,EDINAYA SET LIMITED LIABILITY COMPANY,large
39218,Burda Digital Systems GmbH,large
39287,Materialism s.r.l.,large
39351,31173 Services AB,large
39392,SH.cz s.r.o.,large
39415,PJSC Moscow city telephone network,large
39551,Centre de Telecomunicacions i Tecnologies de la Infor...,large
39570,Loopia AB,large
39572,DataWeb Global Group B.V.,large
39605,Iguane Solutions SAS,large
39684,OOO Mango Telecom,large
39729,REGISTER S.P.A.,large
39731,Axis Communications AB,large
39787,TV 2 AS,large
39832,Opera Norway AS,large
39960,Barnes & Noble Inc.,large
40009,"BitGravity, Inc.",large
40026,DICKS SPORTING GOODS INC,large
40027,Netflix Streaming Services Inc.,large
40034,Confluence Networks Inc,large
40401,Backblaze Inc,large
40428,"Pandora Media, LLC",large
40444,"Constant Contact, Inc",large
40509,"Fly.io, Inc.",large
40675,"PROQUEST, LLC",large
40824,Webzilla Inc.,large
40913,"Quality Technology Services, LLC",large
40934,Fortinet Inc.,large
41064,Telefun SAS,large
41079,Cyber_Folks S.A.,large
41231,Canonical Group Limited,large
